entry,btag,cent,dr1,dr2,dr3,h_b,jet10b,jet10c,jet10eta,jet10pT,jet10phi,jet11b,jet11c,jet11eta,jet11pT,jet11phi,jet12b,jet12c,jet12eta,jet12pT,jet12phi,jet13b,jet13c,jet13eta,jet13pT,jet13phi,jet14b,jet14c,jet14eta,jet14pT,jet14phi,jet15b,jet15c,jet15eta,jet15pT,jet15phi,jet16b,jet16c,jet16eta,jet16pT,jet16phi,jet17b,jet17c,jet17eta,jet17pT,jet17phi,jet18b,jet18c,jet18eta,jet18pT,jet18phi,jet19b,jet19c,jet19eta,jet19pT,jet19phi,jet1b,jet1c,jet1eta,jet1pT,jet1phi,jet20b,jet20c,jet20eta,jet20pT,jet20phi,jet21b,jet21c,jet21eta,jet21pT,jet21phi,jet2b,jet2c,jet2eta,jet2pT,jet2phi,jet3b,jet3c,jet3eta,jet3pT,jet3phi,jet4b,jet4c,jet4eta,jet4pT,jet4phi,jet5b,jet5c,jet5eta,jet5pT,jet5phi,jet6b,jet6c,jet6eta,jet6pT,jet6phi,jet7b,jet7c,jet7eta,jet7pT,jet7phi,jet8b,jet8c,jet8eta,jet8pT,jet8phi,jet9b,jet9c,jet9eta,jet9pT,jet9phi,lepton1eta,lepton1flav,lepton1pT,lepton1phi,lepton2eta,lepton2flav,lepton2pT,lepton2phi,lepton3eta,lepton3flav,lepton3pT,lepton3phi,m_bb,mt1,mt2,mt3,numjet,numlep,srap,weights,truth
0,3.0,0.68168986,0.0007717614,-999.0,-999.0,482.68933,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.9914683,276898.22,2.376762,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.03472182,114404.914,2.9828913,1.0,0.0,1.3763392,91386.21,-0.5601833,0.0,0.0,0.6571431,154931.9,-0.5555421,0.0,0.0,1.5367887,32782.35,-1.1137352,0.0,1.0,-0.3986258,44999.35,-2.6620324,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.5369762,11.0,34311.34,-1.1129866,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,206.31136,48.484478,-999.0,-999.0,6.0,1.0,1.5785383,1.0,1.0
1,3.0,0.657409,0.0021508292,-999.0,-999.0,336.38965,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,1.0,-0.35387185,61661.426,-0.5559939,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.059155907,217819.5,2.0794048,1.0,0.0,-0.5721743,60864.76,2.8490958,1.0,0.0,-0.1818985,150026.84,-1.9552342,1.0,0.0,1.901254,125498.03,-0.3858384,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-0.06101257,11.0,216088.05,2.0804906,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,391.76096,134.17326,-999.0,-999.0,5.0,1.0,1.6489522,1.0,1.0
2,2.0,0.7631085,0.008922613,-999.0,-999.0,100.74411,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.63331926,65403.758,-0.11641117,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.4695283,91744.45,-0.339576,1.0,0.0,-0.3435536,175968.16,2.5941246,1.0,0.0,0.47484863,69402.195,-1.03447,0.0,0.0,1.2218003,41205.996,0.27597833,1.0,0.0,-0.57933456,31341.912,1.409694,0.0,0.0,1.1783717,60424.926,-0.3730192,0.0,0.0,-1.0170196,95612.54,0.02555619,1.0,0.0,-0.89358324,107761.03,3.0938895,-1.0250436,11.0,65851.17,0.029458601,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,101.659134,90.614655,-999.0,-999.0,9.0,1.0,1.0541832,1.0,1.0
3,1.0,0.65515697,0.00039097143,-999.0,-999.0,605.8722,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.40484402,61227.746,2.331919,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.2372759,101700.43,1.1216154,0.0,0.0,0.24184386,69036.98,-1.8283778,1.0,0.0,-1.0734215,605872.2,-0.94341624,1.0,0.0,-0.75738263,522963.97,2.3943381,0.0,0.0,-0.66679615,129305.98,-0.0008229376,0.0,1.0,0.26647875,47596.438,-0.2017979,0.0,0.0,0.08962159,197976.73,-2.8949687,0.0,0.0,-2.3512733,87537.06,1.0711586,-0.66644526,11.0,128155.68,-0.0009953704,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,34.23486,-999.0,-999.0,9.0,1.0,-999.0,1.0,1.0
4,1.0,0.4774059,0.0040829075,-999.0,-999.0,71.87271,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.16897734,46742.504,-2.823101,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.7194851,33264.863,0.94366467,0.0,0.0,0.43649143,87629.7,3.0180166,1.0,0.0,0.99768627,71872.71,0.47751334,1.0,0.0,-2.3157604,67926.016,-2.85889,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.7216496,11.0,31505.996,0.9402027,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,55.076656,-999.0,-999.0,5.0,1.0,-999.0,1.0,1.0
