entry,btag,cent,dr1,dr2,dr3,h_b,jet10b,jet10c,jet10eta,jet10pT,jet10phi,jet11b,jet11c,jet11eta,jet11pT,jet11phi,jet12b,jet12c,jet12eta,jet12pT,jet12phi,jet13b,jet13c,jet13eta,jet13pT,jet13phi,jet14b,jet14c,jet14eta,jet14pT,jet14phi,jet15b,jet15c,jet15eta,jet15pT,jet15phi,jet16b,jet16c,jet16eta,jet16pT,jet16phi,jet17b,jet17c,jet17eta,jet17pT,jet17phi,jet18b,jet18c,jet18eta,jet18pT,jet18phi,jet19b,jet19c,jet19eta,jet19pT,jet19phi,jet1b,jet1c,jet1eta,jet1pT,jet1phi,jet20b,jet20c,jet20eta,jet20pT,jet20phi,jet21b,jet21c,jet21eta,jet21pT,jet21phi,jet2b,jet2c,jet2eta,jet2pT,jet2phi,jet3b,jet3c,jet3eta,jet3pT,jet3phi,jet4b,jet4c,jet4eta,jet4pT,jet4phi,jet5b,jet5c,jet5eta,jet5pT,jet5phi,jet6b,jet6c,jet6eta,jet6pT,jet6phi,jet7b,jet7c,jet7eta,jet7pT,jet7phi,jet8b,jet8c,jet8eta,jet8pT,jet8phi,jet9b,jet9c,jet9eta,jet9pT,jet9phi,lepton1eta,lepton1flav,lepton1pT,lepton1phi,lepton2eta,lepton2flav,lepton2pT,lepton2phi,lepton3eta,lepton3flav,lepton3pT,lepton3phi,m_bb,mt1,mt2,mt3,numjet,numlep,srap,weights,truth
0,3.0,0.41806024,0.53110945,-999.0,-999.0,321.90857,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,1.1869774,35034.83,-1.8415983,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,1.5137705,174646.52,-2.9259398,0.0,0.0,-0.13727388,129034.13,-1.0184711,1.0,0.0,1.5715243,71679.016,0.39374,1.0,0.0,-0.82566905,112227.23,0.8516637,0.0,0.0,2.6113768,69253.05,0.3374312,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0085826,13.0,71650.69,-2.3418508,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,84.70989,88.00387,-999.0,-999.0,6.0,1.0,1.5596263,0.5645377,2.0
1,5.0,0.31282246,0.64684045,-999.0,-999.0,208.08629,1.0,0.0,-0.9270897,32512.113,-1.7046913,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.13223054,52358.23,-1.9352274,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,1.1974193,126794.5,1.5231565,0.0,1.0,0.9997109,58647.562,-0.942484,1.0,0.0,-0.056993257,44236.38,-1.4890971,0.0,0.0,2.8927455,33065.02,2.91819,0.0,0.0,-2.892447,103744.25,-1.3732833,0.0,0.0,-0.62721014,98613.49,1.2364063,1.0,0.0,0.64472413,40385.363,-2.6234038,1.0,0.0,-1.9937568,32304.873,2.6084187,-0.20712669,11.0,30972.197,1.7282727,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,62.711777,76.98117,-999.0,-999.0,10.0,1.0,1.5117499,0.5645377,2.0
2,1.0,0.7465927,0.0013284087,-999.0,-999.0,151.19637,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.19841796,184279.25,-1.8795726,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,1.6043351,45783.33,1.9456158,0.0,0.0,1.3081079,52581.047,0.39801288,1.0,0.0,0.7521009,151196.36,1.660192,0.0,0.0,0.43581265,109464.18,-0.16671552,0.0,1.0,-0.11484516,59887.27,-2.595266,1.0,0.0,1.3043672,32630.219,-0.93070805,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.3085054,11.0,29216.688,0.3992804,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,58.251667,-999.0,-999.0,7.0,1.0,-999.0,0.5645377,2.0
3,2.0,0.5563299,0.7726999,-999.0,-999.0,185.50847,1.0,0.0,-0.32896653,86241.914,-0.8250572,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,2.5021524,26121.559,2.0822692,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-1.376558,42409.656,3.110533,0.0,0.0,0.35483763,53185.12,0.9929197,1.0,0.0,-0.30293378,59521.438,0.9852108,0.0,0.0,-1.7055279,60040.754,-0.07161292,1.0,0.0,0.2067652,125987.03,2.613286,0.0,1.0,-0.5651152,34176.465,-2.3253615,0.0,0.0,2.0801232,77032.93,2.4378045,0.0,0.0,0.38601068,134214.78,-1.6801695,-0.5658538,13.0,46207.633,2.6021023,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,133.59328,86.410805,-999.0,-999.0,10.0,1.0,0.509699,0.5645377,2.0
4,2.0,0.9514104,1.462477,-999.0,-999.0,206.98004,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.41380954,37038.914,-2.0096653,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.08340948,42037.17,2.319554,1.0,0.0,-0.5338915,100180.95,0.52808434,1.0,0.0,-0.20491864,106799.09,-2.8499815,1.0,0.0,-0.1528742,142880.73,2.954023,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.32372466,13.0,26992.014,-0.7467788,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,208.2542,34.356773,-999.0,-999.0,5.0,1.0,0.32897288,0.5645377,2.0
