entry,btag,cent,dr1,dr2,dr3,h_b,jet10b,jet10c,jet10eta,jet10pT,jet10phi,jet11b,jet11c,jet11eta,jet11pT,jet11phi,jet12b,jet12c,jet12eta,jet12pT,jet12phi,jet13b,jet13c,jet13eta,jet13pT,jet13phi,jet14b,jet14c,jet14eta,jet14pT,jet14phi,jet15b,jet15c,jet15eta,jet15pT,jet15phi,jet16b,jet16c,jet16eta,jet16pT,jet16phi,jet17b,jet17c,jet17eta,jet17pT,jet17phi,jet18b,jet18c,jet18eta,jet18pT,jet18phi,jet19b,jet19c,jet19eta,jet19pT,jet19phi,jet1b,jet1c,jet1eta,jet1pT,jet1phi,jet20b,jet20c,jet20eta,jet20pT,jet20phi,jet21b,jet21c,jet21eta,jet21pT,jet21phi,jet2b,jet2c,jet2eta,jet2pT,jet2phi,jet3b,jet3c,jet3eta,jet3pT,jet3phi,jet4b,jet4c,jet4eta,jet4pT,jet4phi,jet5b,jet5c,jet5eta,jet5pT,jet5phi,jet6b,jet6c,jet6eta,jet6pT,jet6phi,jet7b,jet7c,jet7eta,jet7pT,jet7phi,jet8b,jet8c,jet8eta,jet8pT,jet8phi,jet9b,jet9c,jet9eta,jet9pT,jet9phi,lepton1eta,lepton1flav,lepton1pT,lepton1phi,lepton2eta,lepton2flav,lepton2pT,lepton2phi,lepton3eta,lepton3flav,lepton3pT,lepton3phi,m_bb,mt1,mt2,mt3,numjet,numlep,srap,weights,truth
0,4.0,0.66304183,0.6897048,-999.0,-999.0,549.1578,1.0,0.0,0.16500413,316273.12,1.9630039,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.72898364,126906.79,-0.7077914,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-2.5791898,31733.49,1.6599835,0.0,0.0,-1.6761632,46901.098,0.41964626,1.0,0.0,0.24366541,66006.56,1.4315882,1.0,0.0,-0.92730254,528839.8,-1.1698418,0.0,0.0,0.8723446,38054.77,1.301069,0.0,0.0,-1.1351614,62729.062,-2.5572646,0.0,0.0,-0.6994285,36446.266,2.4271412,1.0,0.0,-1.3274156,39971.277,2.2537835,-0.701149,13.0,91333.5,-3.0932925,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,76.72851,73.732735,-999.0,-999.0,10.0,1.0,0.9345385,1.0,0.0
1,3.0,0.7628665,0.26631647,-999.0,-999.0,493.91312,1.0,0.0,0.021122474,44880.73,-0.791483,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.63083816,397834.03,0.94767356,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.7276352,74335.62,0.27390802,1.0,0.0,0.26657763,38080.277,-0.011044689,1.0,0.0,0.7699817,98786.39,-2.0571773,0.0,0.0,-3.0624938,37632.09,0.2779315,0.0,1.0,0.8253002,85232.6,0.08157335,0.0,0.0,-0.10278086,599575.9,-1.8993382,1.0,0.0,-0.3192049,60406.38,2.9316206,1.0,0.0,-0.28313836,334344.9,2.270551,-0.89713985,11.0,41465.324,0.9504792,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,274.28662,73.15094,-999.0,-999.0,10.0,1.0,1.0352902,1.0,0.0
2,4.0,0.7729794,0.37549385,-999.0,-999.0,294.90616,0.0,0.0,-0.85683924,156424.64,-2.621965,1.0,0.0,0.61038303,69145.91,1.6545013,1.0,0.0,1.9938952,26940.357,1.1005788,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-0.8174357,125111.95,-0.66007733,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.1219162,37267.062,1.0134503,1.0,0.0,0.03989438,609557.8,1.9175881,0.0,0.0,-1.0924582,267997.84,-2.2281957,0.0,0.0,-0.09115163,49865.168,-1.9859942,0.0,0.0,2.5362744,30028.316,0.4149126,0.0,0.0,-0.5068035,60915.395,-0.28015456,0.0,0.0,0.47367102,563120.1,2.9085426,1.0,0.0,-0.36778682,73707.945,-0.9746279,-0.877459,13.0,99336.08,-0.2200701,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,52.924824,47.474503,-999.0,-999.0,12.0,1.0,1.5686938,1.0,0.0
3,3.0,0.7302073,0.80159533,-999.0,-999.0,273.90808,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-1.7994891,29436.553,-0.6801379,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,1.0,-0.31378016,94710.12,-1.5685358,1.0,0.0,0.638304,89613.83,2.5909214,1.0,0.0,0.52428836,64040.37,1.1328708,1.0,0.0,-0.91344285,84329.21,-0.031087413,1.0,0.0,-0.8485043,120253.875,1.2526255,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.21316913,13.0,67714.84,-3.012694,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,130.57889,79.986984,-999.0,-999.0,6.0,1.0,0.9912055,1.0,0.0
4,1.0,0.6804217,0.05667396,-999.0,-999.0,93.03255,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,1.6635087,68586.53,2.977724,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-0.96111727,25588.148,-0.69286025,0.0,0.0,-0.64532596,192714.33,-2.9524052,0.0,0.0,-1.0268629,82053.19,0.15648362,1.0,0.0,-0.64453816,96928.65,-0.27931547,1.0,0.0,1.0821215,93032.55,-1.362249,1.0,0.0,0.3332031,93633.766,1.7141798,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-0.70007586,11.0,101167.18,-0.29060712,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,69.32134,-999.0,-999.0,7.0,1.0,-999.0,1.0,0.0
