NN Archi.,#Br.,LR,Batch,#Layers,#Neurons,#Epochs,#EpochsRan,AUC,Sigif.,File
"[150, 150, 150, 150, 150, 150, 1]",131,0.0001,512,7,901,150,33,0.955778,0.646,2020_09_18_rocDataNN_23.24.07.csv
"[10, 10, 1]",131,0.0001,512,3,21,150,43,0.964817,0.646,2020_09_18_rocDataNN_23.50.40.csv
"[10, 10, 1]",131,0.0001,512,3,21,150,21,0.952679,0.547,2020_09_18_rocDataNN_23.58.36.csv
"[10, 10, 1]",131,0.0001,512,3,21,150,61,0.970721,0.914,2020_09_19_rocDataNN_00.45.51.csv
"[10, 10, 1]",131,0.0001,512,3,21,150,109,0.977787,1.715,2020_09_19_rocDataNN_01.08.48.csv
"[10, 10, 1]",143,0.0001,512,3,21,150,51,0.974620,1.242,2020_09_19_rocDataNN_01.20.40.csv
"[10, 10, 1]",88,0.0001,512,3,21,150,57,0.972316,1.478,2020_09_19_rocDataNN_01.45.23.csv
"[10, 10, 1]",88,0.0001,512,3,21,150,150,0.802077,0.240,2020_09_19_rocDataNN_01.47.00.csv
"[10, 10, 1]",88,0.0001,512,3,21,150,150,0.900379,0.521,2020_09_19_rocDataNN_01.48.31.csv
"[10, 10, 1]",13,0.0001,512,3,21,150,150,0.917628,0.616,2020_09_19_rocDataNN_01.50.09.csv
"[10, 10, 1]",13,0.0001,32,3,21,150,150,0.963545,0.805,2020_09_19_rocDataNN_01.53.12.csv
"[10, 10, 1]",12,0.0001,32,3,21,150,96,0.521573,0.147,2020_09_19_rocDataNN_01.54.58.csv
"[10, 10, 1]",50,0.0001,32,3,21,150,150,0.882528,0.540,2020_09_19_rocDataNN_01.59.09.csv
"[150, 150, 150, 150, 150, 150, 1]",50,0.0001,32,7,901,150,30,0.833537,0.277,2020_09_19_rocDataNN_02.00.52.csv
"[150, 150, 150, 150, 150, 150, 1]",62,0.0001,32,7,901,150,23,0.852738,0.271,2020_09_19_rocDataNN_02.02.36.csv
"[150, 150, 150, 150, 150, 150, 1]",75,0.0001,32,7,901,150,23,0.953528,0.824,2020_09_19_rocDataNN_02.04.21.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,32,7,901,150,23,0.950128,0.938,2020_09_19_rocDataNN_02.06.07.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,32,7,901,150,15,0.950202,0.540,2020_09_19_rocDataNN_02.08.53.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,8,7,901,150,12,0.950769,0.697,2020_09_19_rocDataNN_02.11.02.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,8,7,901,150,4,0.949795,0.539,2020_09_19_rocDataNN_02.12.23.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,256,7,901,150,4,0.953379,0.589,2020_09_19_rocDataNN_02.35.44.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,256,7,901,150,6,0.957149,0.661,2020_09_19_rocDataNN_21.58.06.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,256,7,901,150,6,0.954449,0.552,2020_09_19_rocDataNN_22.04.29.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,512,7,901,150,7,0.954560,0.580,2020_09_19_rocDataNN_22.11.13.csv
"[150, 150, 150, 150, 150, 150, 1]",88,0.0001,512,7,901,150,8,0.952886,0.624,2020_09_19_rocDataNN_22.18.50.csv
"[150, 150, 150, 150, 150, 150, 1]",143,0.0001,512,7,901,150,4,0.947478,0.460,2020_09_19_rocDataNN_22.22.19.csv
"[10, 10, 1]",143,0.0001,512,3,21,150,12,0.957231,0.569,2020_09_19_rocDataNN_22.26.47.csv
