entry,btag,cent,dr1,dr2,dr3,h_b,jet10b,jet10c,jet10eta,jet10pT,jet10phi,jet11b,jet11c,jet11eta,jet11pT,jet11phi,jet12b,jet12c,jet12eta,jet12pT,jet12phi,jet13b,jet13c,jet13eta,jet13pT,jet13phi,jet14b,jet14c,jet14eta,jet14pT,jet14phi,jet15b,jet15c,jet15eta,jet15pT,jet15phi,jet16b,jet16c,jet16eta,jet16pT,jet16phi,jet17b,jet17c,jet17eta,jet17pT,jet17phi,jet18b,jet18c,jet18eta,jet18pT,jet18phi,jet19b,jet19c,jet19eta,jet19pT,jet19phi,jet1b,jet1c,jet1eta,jet1pT,jet1phi,jet20b,jet20c,jet20eta,jet20pT,jet20phi,jet21b,jet21c,jet21eta,jet21pT,jet21phi,jet2b,jet2c,jet2eta,jet2pT,jet2phi,jet3b,jet3c,jet3eta,jet3pT,jet3phi,jet4b,jet4c,jet4eta,jet4pT,jet4phi,jet5b,jet5c,jet5eta,jet5pT,jet5phi,jet6b,jet6c,jet6eta,jet6pT,jet6phi,jet7b,jet7c,jet7eta,jet7pT,jet7phi,jet8b,jet8c,jet8eta,jet8pT,jet8phi,jet9b,jet9c,jet9eta,jet9pT,jet9phi,lepton1eta,lepton1flav,lepton1pT,lepton1phi,lepton2eta,lepton2flav,lepton2pT,lepton2phi,lepton3eta,lepton3flav,lepton3pT,lepton3phi,m_bb,mt1,mt2,mt3,numjet,numlep,srap,weights,truth
0,1.0,0.47796115,0.7499147,-999.0,-999.0,26.22395,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,-2.1325607,53209.74,1.896665,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-1.7253076,49397.777,2.7120461,1.0,0.0,-1.5059856,122906.7,0.635249,0.0,0.0,-0.3836723,58103.523,-0.93769133,0.0,0.0,-0.87927985,186099.42,-0.46483716,1.0,0.0,-1.7637976,26223.95,-2.064973,0.0,0.0,-1.2552149,141888.6,3.1405022,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-1.2704109,13.0,35050.46,-1.500224,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,51.75289,-999.0,-999.0,7.0,1.0,-999.0,0.15340835,3.0
1,2.0,0.70799404,1.110223e-16,-999.0,-999.0,126.23316,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,1.1225414,167585.58,1.0420364,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.98431647,226840.19,1.5847088,1.0,0.0,0.7958866,54905.332,-1.4802728,1.0,0.0,0.07293864,209472.25,-2.0062644,1.0,0.0,0.24045607,84775.86,-2.6013048,0.0,0.0,1.3407773,69109.35,-0.9908379,1.0,0.0,1.0044533,41457.305,2.0787153,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.3407773,11.0,86029.23,-0.9908379,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,97.00423,71.46213,-999.0,-999.0,7.0,1.0,0.7639972,0.15340835,3.0
2,3.0,0.5793133,0.6915778,-999.0,-999.0,274.9069,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.57046753,46427.5,-2.6592968,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,-2.2781963,25794.81,-0.54696006,0.0,0.0,1.0745217,113314.08,0.47686416,0.0,0.0,-1.5033449,40159.883,-2.2198358,1.0,0.0,-0.09218554,124152.766,-2.4534166,0.0,0.0,1.2919694,152634.03,0.96749175,1.0,0.0,-1.035984,93042.664,-2.5236485,1.0,0.0,-1.085173,57711.45,0.9109694,-9.0,-9.0,-9.0,-999.0,-9.0,-1.6236271,13.0,59423.793,-0.3237586,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,105.51472,72.34396,-999.0,-999.0,8.0,1.0,0.66199166,0.15340835,3.0
3,0.0,0.6006982,0.0018088616,-999.0,-999.0,0.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.7270959,154196.2,-2.0454664,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,1.0,0.922094,42081.074,1.1065688,0.0,0.0,1.4226075,112912.98,2.2555022,0.0,0.0,0.6011511,194149.1,-1.1875985,1.0,0.0,1.3561665,251468.05,1.4455868,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.60281783,11.0,220618.48,-1.1868956,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,0.0,16.58193,-999.0,-999.0,5.0,1.0,-999.0,0.15340835,3.0
4,3.0,0.79664767,0.75596315,-999.0,-999.0,179.18857,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,1.0,0.0,0.26443213,47983.875,-1.1189734,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,0.0,0.0,0.21467276,70390.72,2.959035,0.0,0.0,0.77528274,234597.16,0.6983129,1.0,0.0,-1.3857445,50676.71,-2.722356,1.0,0.0,-0.36259177,80527.98,-2.2405503,1.0,0.0,0.4733596,114389.96,-0.1835496,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-9.0,-9.0,-9.0,-999.0,-9.0,-0.8849141,13.0,79300.26,2.9945703,-9.0,-999.0,-999.0,-9.0,-9.0,-999.0,-999.0,-9.0,74.74703,46.126583,-999.0,-999.0,6.0,1.0,1.1001177,0.15340835,3.0
